Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Elijah Lee,Kansas St.,LB,75,228,,,,,,,,,4.3,
2017,Marquel Lee,Wake Forest,LB,75,240,9.5,32.5,,,25,31,118,,,
2017,Jordan Leggett,Clemson,TE,77,258,10.38,33.5,,,18,33,114,7.12,4.45,12.34
2017,Mitch Leidner,Minnesota,QB,75,226,10,33.75,,4.93,,34.5,123,6.96,4.45,
2017,Corey Levin,Tennessee-Chattanooga,OL,76,307,10.88,33.5,,5.16,26,26.5,106,7.55,,
2017,Jourdan Lewis,Michigan,CB,70,188,9.25,31.63,,4.54,15,34.5,121,,,
2017,William Likely,Maryland,FS,67,180,9.5,29,,,15,,,,,
2017,Sefo Liufau,Colorado,QB,75,232,10.75,33.5,,5.08,,27,105,7.32,4.23,
2017,T.J. Logan,North Carolina,RB,69,196,9,32,,4.37,17,33.5,121,,4.43,12
2017,Shalom Luani,Washington St.,S,71,202,9.75,32,,4.55,12,31,116,6.87,4.34,
2017,Keevan Lucas,Tulsa,WR,69,192,9.88,31.88,,4.55,11,32.5,119,7.23,4.14,
2017,Marlon Mack,South Florida,RB,71,213,9,32,,4.5,15,35.5,125,,4.22,11.03
2017,Erik Magnuson,Michigan,OG,78,305,,,,,,,,,4.94,
2017,Patrick Mahomes,Texas Tech,QB,74,225,9.25,33.25,,4.8,,30,114,6.88,4.31,
2017,Josh Malone,Tennessee,WR,75,208,9.63,31.38,,4.4,10,30.5,121,7.05,4.13,11.32
2017,Damien Mama,USC,OG,75,334,11,35,,5.84,,24.5,96,8.51,4.9,
2017,Gabe Marks,Washington St.,WR,71,189,8.75,30.38,,4.56,11,29.5,117,7.01,,
2017,JoJo Mathis,Washington,OLB,74,266,9,33,,,24,,,,,
2017,Art Maulet,Memphis,DB,70,189,9.63,31.25,,4.62,18,34.5,120,,4.22,
2017,Marcus Maye,Florida,S,72,210,9.13,32.5,,,,,,,4.12,11.19
2017,Christian McCaffrey,Stanford,RB,71,202,9,30,,4.48,10,37.5,121,6.57,4.37,11.71
2017,Conor McDermott,UCLA,OT,80,307,11,34.75,,5.18,,28.5,105,7.52,,
2017,Malik McDowell,Michigan St.,DT,78,295,10.5,34.75,,4.85,23,28.5,112,7.69,,
2017,Elijah McGuire,Louisiana-Lafayette,RB,70,214,9,31,,4.53,15,36,120,7.26,,
2017,Takkarist McKinley,UCLA,DE,74,250,9.75,34.75,,4.59,24,33,122,7.48,4.32,11.83
2017,Raekwon McMillan,Ohio St.,LB,74,240,9.75,33,,4.61,23,33,121,7.15,,
2017,Jeremy McNichols,Boise St.,RB,69,214,10,31.5,,4.49,,35.5,121,6.93,,
2017,Obi Melifonwu,Connecticut,S,76,224,9.13,32.5,,4.4,17,44,141,,,
2017,Matt Milano,Boston College,OLB,72,223,9.38,32,,4.67,24,35,126,,4.38,
2017,Fabian Moreau,UCLA,CB,72,206,9,31.38,,4.35,,38,136,6.94,,
2017,Drew Morgan,Arkansas,WR,72,190,9.5,30.38,,4.74,10,30,112,6.85,4.19,11.31
2017,Jordan Morgan,Kutztown (PA),OG,75,309,10,34.63,,5.36,21,27,102,8.13,4.25,11.71
2017,Avery Moss,Youngstown St.,DE,75,264,10.38,34.5,,4.79,14,32.5,114,7.25,4.62,
2017,Taylor Moton,Western Michigan,OG,77,319,10.63,34.13,,5.18,23,30.5,109,7.73,,
2017,Al-Quadin Muhammad,Miami,DE,75,253,9.38,33.25,,4.88,22,30.5,117,7.25,4.37,
2017,Levon Myers,Northern Illinois,OT,77,309,,,,,,,,,5.06,
2017,Jalen Myrick,Minnesota,CB,70,200,8.75,31.63,,4.28,13,37.5,124,7.06,4.34,11.84
2017,Montae Nicholson,Michigan St.,S,74,212,9.5,33.38,,4.42,,35,125,,4.19,
2017,Hardy Nickerson,Illinois,LB,72,232,10,32,,4.78,18,33,116,,4.21,
2017,David Njoku,Miami,TE,76,246,10,35.25,,4.64,21,37.5,133,6.97,4.51,
2017,Speedy Noil,Texas A&M,WR,71,199,9.25,30,,,18,43.5,133,,,
2017,Bradley Northnagel,California,LS,74,243,10,32.5,,5.3,,25.5,99,,4.33,
2017,Noble Nwachukwu,West Virginia,DE,73,268,9,33.13,,4.83,27,30.5,110,,4.37,
2017,Ifeadi Odenigbo,Northwestern,DL,75,258,10.5,32.63,,4.72,25,31.5,128,7.26,,
2017,Dare Ogunbowale,Wisconsin,RB,71,213,9.13,31.38,,4.65,14,35,120,6.99,4.56,11.75
2017,Larry Ogunjobi,North Carolina Charlotte,DT,75,305,10,32.63,,4.97,26,32,116,7.55,4.72,
2017,Tyler Orlosky,West Virginia,C,75,298,9.75,32.25,,,24,,,,3.89,11.14
2017,Scott Orndoff,Pittsburgh,TE,77,253,10,33.25,,4.84,17,27,112,7.37,,
2017,Zach Pascal,Old Dominion,WR,74,219,10,32,,4.55,14,36,126,7.11,,
2017,Jabrill Peppers,Michigan,LB,71,213,9.63,30.75,,4.46,19,35.5,128,,,
2017,Samaje Perine,Oklahoma,RB,71,233,10,30.38,,4.65,30,33,116,7.26,,
2017,Nathan Peterman,Pittsburgh,QB,74,226,9.88,32,,4.82,,31,110,7.14,4.31,
