Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Jahad Thomas,Temple,RB,70,190,9,30.13,,4.62,11,32,116,,,
2017,Noel Thomas,Connecticut,WR,72,205,8.75,30,,4.63,9,32.5,118,,,
2017,Solomon Thomas,Stanford,DE,75,273,9.38,33,,4.69,30,35,126,6.95,4.58,12.3
2017,Tedric Thompson,Colorado,FS,72,204,9.63,31.5,,4.6,17,32.5,117,7.11,4.43,12.13
2017,Jack Tocho,N.C. State,CB,72,202,9.38,31.63,,4.54,21,35,125,,4.07,
2017,Dalvin Tomlinson,Alabama,DT,75,310,10.13,33.5,,5.19,,27,110,7.68,4.39,
2017,Alek Torgersen,Pennsylvania,QB,75,230,,,,,,,,,4.31,
2017,Jon Toth,Kentucky,C,77,307,10,33.63,,5.51,21,25.5,100,8.09,4.37,11.77
2017,Damarius Travis,Minnesota,S,73,206,9,31.75,,,13,32.5,115,7.08,,
2017,Stevie Tu'ikolovatu,USC,DT,73,331,10.25,33,,5.45,28,24.5,91,7.83,4.65,
2017,Josh Tupou,Colorado,NT,75,325,,,,,,,,,4.93,
2017,Michael Tyson,Cincinnati,S,73,204,9.25,31.75,,4.56,17,33,118,,,
2017,Jerry Ugokwe,William & Mary,OT,79,321,10.38,35.38,,5.61,18,26,103,8.35,5.21,
2017,Conrad Ukropina,Stanford,K,72,190,9.13,31.38,,,,,,,,
2017,Tanner Vallejo,Boise St.,LB,73,228,9.63,30.5,,4.67,,33.5,121,,,
2017,Eddie Vanderdoes,UCLA,DT,75,305,10.63,33.13,,4.99,28,28.5,111,7.69,,
2017,Justin Vogel,Miami,P,76,219,9,32.5,,4.7,,34,,,4.53,
2017,Charles Walker,Oklahoma,DT,74,310,9.63,33.75,,4.96,25,28,107,7.89,4.13,11.58
2017,Demarcus Walker,Florida St.,DE,76,280,10.5,33,,,18,,,,4.89,
2017,Carlos Watkins,Clemson,DT,75,309,10.38,34.63,,,25,,,,4.73,
2017,Deshaun Watson,Clemson,QB,74,221,9.75,33,,4.66,,32.5,119,6.95,,
2017,T.J. Watt,Wisconsin,LB,76,252,11,33.13,,4.69,21,37,128,6.79,4.78,
2017,Davis Webb,California,QB,77,229,9.25,33.13,,4.79,,33,118,6.92,,
