2007,Patrick Willis,Mississippi,ILB,73,242,,,,4.51,22,39,119,4.46,7.23,
2009,Clay Matthews,Southern California,OLB,75,240,,,27,4.62,23,35.5,121,4.18,6.9,
2013,Jamie Collins,Southern Mississippi,OLB,76,250,9.75,33.68,17,4.64,19,41.5,139,4.32,7.1,11.55
2012,Lavonte David,Nebraska,OLB,73,233,8.75,31.75,,4.57,19,36.5,119,4.22,7.28,
